Description;label;variable;distribution;lower;median;upper;unit
Crop yield;Potato yield;potato_yield;posnorm;10000;;20000;kg/ha
Crop yield;Shallot yield;shallot_yield;posnorm;6000;;12000;kg/ha
Crop yield;Chili yield;chili_yield;posnorm;5500;;11000;kg/ha
Crop yield;Carrot yield;carrot_yield;posnorm;11000;;22000;kg/ha
Crop yield;Cabbage yield;cabbage_yield;posnorm;17000;;34000;kg/ha
Crop yield;Rice yield;rice_yield;posnorm;3000;;6000;kg/ha
Crop price;Potato price;potato_price;posnorm;5000;;15000;IDR/kg
Crop price;Shallot price;shallot_price;posnorm;10000;;50000;IDR/kg
Crop price;Chili price;chili_price;posnorm;5000;;60000;IDR/kg
Crop price;Carrot price;carrot_price;posnorm;2000;;12000;IDR/kg
Crop price;Cabbage price;cabbage_price;posnorm;1000;;8000;IDR/kg
Crop price;Rice price;rice_price;posnorm;3000;;6000;IDR/kg
Water use;Potato water use;potato_water_use;posnorm;1500;;2500;m3/ha
Water use;Shallot water use;shallot_water_use;posnorm;1000;;2000;m3/ha
Water use;Chili water use;chili_water_use;posnorm;1200;;2500;m3/ha
Water use;Carrot water use;carrot_water_use;posnorm;1200;;2200;m3/ha
Water use;Cabbage water use;cabbage_water_use;posnorm;1500;;3000;m3/ha
Water use;Rice water use;rice_water_use;posnorm;3000;;6000;m3/ha
Nutrient;Potato calories;potato_calories;posnorm;70;;80;kcal/100 g
Nutrient;Shallot calories;shallot_calories;posnorm;35;;45;kcal/100 g
Nutrient;Chili calories;chili_calories;posnorm;35;;45;kcal/100 g
Nutrient;Carrot calories;carrot_calories;posnorm;36;;46;kcal/100 g
Nutrient;Cabbage calories;cabbage_calories;posnorm;20;;30;kcal/100 g
Nutrient;Rice calories;rice_calories;posnorm;120;;140;kcal/100 g
Nutrient;Potato protein;potato_protein;posnorm;1.7;;2.3;g/100 g
Nutrient;Shallot protein;shallot_protein;posnorm;0.8;;1.4;g/100 g
Nutrient;Chili protein;chili_protein;posnorm;1.7;;2.1;g/100 g
Nutrient;Carrot protein;carrot_protein;posnorm;1;;1.5;g/100 g
Nutrient;Cabbage protein;cabbage_protein;posnorm;2.5;;3;g/100 g
Nutrient;Rice protein;rice_protein;posnorm;120;;140;g/100 g
Nutrient;Potato fat;potato_fat;posnorm;0.05;;0.15;g/100 g
Nutrient;Shallot fat;shallot_fat;posnorm;0.05;;0.15;g/100 g
Nutrient;Chili fat;chili_fat;posnorm;0.15;;0.25;g/100 g
Nutrient;Carrot fat;carrot_fat;posnorm;0.15;;0.25;g/100 g
Nutrient;Cabbage fat;cabbage_fat;posnorm;0.15;;0.25;g/100 g
Nutrient;Rice fat;rice_fat;posnorm;0.25;;0.35;g/100 g
Nutrient;Potato carbohydrates;potato_carbohydrates;posnorm;17;;18;g/100 g
Nutrient;Shallot carbohydrates;shallot_carbohydrates;posnorm;8.5;;10;g/100 g
Nutrient;Chili carbohydrates;chili_carbohydrates;posnorm;8;;9.2;g/100 g
Nutrient;Carrot carbohydrates;carrot_carbohydrates;posnorm;9.3;;10.5;g/100 g
Nutrient;Cabbage carbohydrates;cabbage_carbohydrates;posnorm;5;;6.5;g/100 g
