Description;label;variable;distribution;lower;median;upper;unit;;;;;
Crop yield;Potato yield;potato_yield;posnorm;10000;;20000;kg/ha;;;;;
Crop yield;Shallot yield;shallot_yield;posnorm;6000;;12000;kg/ha;;;;;
Crop yield;Chili yield;chili_yield;posnorm;5500;;11000;kg/ha;;;;;
Crop yield;Carrot yield;carrot_yield;posnorm;11000;;22000;kg/ha;;;;;
Crop yield;Cabbage yield;cabbage_yield;posnorm;17000;;34000;kg/ha;;;;;
Crop yield;Rice yield;rice_yield;posnorm;3000;;6000;kg/ha;;;;;
Crop price;Potato price;potato_price;posnorm;5000;;15000;IDR/kg;;;;;
Crop price;Shallot price;shallot_price;posnorm;10000;;50000;IDR/kg;;;;;
Crop price;Chili price;chili_price;posnorm;5000;;60000;IDR/kg;;;;;
Crop price;Carrot price;carrot_price;posnorm;2000;;12000;IDR/kg;;;;;
Crop price;Cabbage price;cabbage_price;posnorm;1000;;8000;IDR/kg;;;;;
Crop price;Rice price;rice_price;posnorm;3000;;6000;IDR/kg;;;;;
Water use;Potato water use;potato_water_use;posnorm;1500;;2500;m3/ha;;;;;
Water use;Shallot water use;shallot_water_use;posnorm;1000;;2000;m3/ha;;;;;
Water use;Chili water use;chili_water_use;posnorm;1200;;2500;m3/ha;;;;;
Water use;Carrot water use;carrot_water_use;posnorm;1200;;2200;m3/ha;;;;;
Water use;Cabbage water use;cabbage_water_use;posnorm;1500;;3000;m3/ha;;;;;
Water use;Rice water use;rice_water_use;posnorm;3000;;6000;m3/ha;;;;;
Nutrient;Potato calories;potato_calories;posnorm;700;;800;kcal/kg;;;;;
Nutrient;Shallot calories;shallot_calories;posnorm;350;;450;kcal/kg;;;;;
Nutrient;Chili calories;chili_calories;posnorm;350;;450;kcal/kg;;;;;
Nutrient;Carrot calories;carrot_calories;posnorm;360;;460;kcal/kg;;;;;
Nutrient;Cabbage calories;cabbage_calories;posnorm;200;;300;kcal/kg;;;;;
Nutrient;Rice calories;rice_calories;posnorm;1200;;1400;kcal/kg;;;;;
Nutrient;Potato protein;potato_protein;posnorm;15;;25;g/kg;;;;;
Nutrient;Shallot protein;shallot_protein;posnorm;10;;15;g/kg;;;;;
Nutrient;Chili protein;chili_protein;posnorm;14;;24;g/kg;;;;;
Nutrient;Carrot protein;carrot_protein;posnorm;4;;14;g/kg;;;;;
Nutrient;Cabbage protein;cabbage_protein;posnorm;12;;22;g/kg;;;;;
Nutrient;Rice protein;rice_protein;posnorm;22;;32;g/kg;;;;;
Nutrient;Potato fat;potato_fat;posnorm;1;;2;g/kg;;;;;
Nutrient;Shallot fat;shallot_fat;posnorm;1;;2;g/kg;;;;;
Nutrient;Chili fat;chili_fat;posnorm;2;;3;g/kg;;;;;
Nutrient;Carrot fat;carrot_fat;posnorm;2;;3;g/kg;;;;;
Nutrient;Cabbage fat;cabbage_fat;posnorm;2;;3;g/kg;;;;;
Nutrient;Rice fat;rice_fat;posnorm;3;;4;g/kg;;;;;
Nutrient;Potato carbohydrates;potato_carbohydrates;posnorm;160;;190;g/kg;;;;;
Nutrient;Shallot carbohydrates;shallot_carbohydrates;posnorm;80;;100;g/kg;;;;;
