"","variable","expected_gain","EVPI_do","EVPI_dont"
"n_year","n_year",NA,0,0
"discount_rate","discount_rate",29775.5143140752,0,29775.5143140752
"CV_value","CV_value",29754.7404343178,0,29754.7404343178
"inflation_rate","inflation_rate",29552.3720050383,0,29552.3720050383
"rice_yield","rice_yield",29740.9565452828,0,29740.9565452828
"chinese_mustard_green_yield","chinese_mustard_green_yield",29740.6381581604,0,29740.6381581604
"green_bean_yield","green_bean_yield",29776.7099313783,0,29776.7099313783
"cabbage_yield","cabbage_yield",29780.2612688098,0,29780.2612688098
"chili_yield","chili_yield",29670.9428691572,0,29670.9428691572
"tomato_yield","tomato_yield",29768.459777212,0,29768.459777212
"spring_onion_yield","spring_onion_yield",29744.9434128744,0,29744.9434128744
"rice_farmgate_price","rice_farmgate_price",29746.0548109682,0,29746.0548109682
"rice_market_price","rice_market_price",29774.3805536891,0,29774.3805536891
"rice_cultural_value","rice_cultural_value",29745.5730075222,0,29745.5730075222
"chinese_mustard_green_price","chinese_mustard_green_price",29742.1676190543,0,29742.1676190543
"green_bean_price","green_bean_price",29728.2974708683,0,29728.2974708683
"cabbage_price","cabbage_price",29596.1525695246,0,29596.1525695246
"chili_price","chili_price",28306.8779876043,0,28306.8779876043
"tomato_price","tomato_price",29538.62888427,0,29538.62888427
"spring_onion_price","spring_onion_price",28965.8185061256,0,28965.8185061256
"vegetable_farmgate_prices","vegetable_farmgate_prices",27317.400657185,0,27317.400657185
"chinese_mustard_green_contract_price","chinese_mustard_green_contract_price",29701.1699436522,0,29701.1699436522
"biomass_rice","biomass_rice",29724.2370595244,0,29724.2370595244
"biomass_vegetables","biomass_vegetables",29723.343299532,0,29723.343299532
"price_rice_compost","price_rice_compost",29754.3796464929,0,29754.3796464929
"price_vegetable_compost","price_vegetable_compost",29755.1860989945,0,29755.1860989945
"rice_ecotourism_value","rice_ecotourism_value",29661.9194192384,0,29661.9194192384
"vegetable_ecotourism_value","vegetable_ecotourism_value",29560.4382152452,0,29560.4382152452
"health_cost_savings_from_rice","health_cost_savings_from_rice",26361.9716674483,0,26361.9716674483
"health_cost_savings_from_vegetables","health_cost_savings_from_vegetables",29647.8158793076,0,29647.8158793076
"rice_farming_input_costs","rice_farming_input_costs",29753.7483156583,0,29753.7483156583
"rice_farming_input_costs_with_gov_assistance","rice_farming_input_costs_with_gov_assistance",29741.8245028501,0,29741.8245028501
"rice_labor_costs","rice_labor_costs",29752.9076306999,0,29752.9076306999
"rice_machinery_costs","rice_machinery_costs",29730.3518107925,0,29730.3518107925
"rice_machinery_costs_with_gov_assistance","rice_machinery_costs_with_gov_assistance",29775.7447159047,0,29775.7447159047
"vegetables_farming_input_costs","vegetables_farming_input_costs",29738.104090473,0,29738.104090473
"vegetables_farming_input_costs_with_gov_assistance","vegetables_farming_input_costs_with_gov_assistance",29768.6914997135,0,29768.6914997135
"vegetables_equipment_costs_first_year","vegetables_equipment_costs_first_year",29621.0377505798,0,29621.0377505798
"vegetables_equipment_costs_first_year_with_gov_assistance","vegetables_equipment_costs_first_year_with_gov_assistance",29695.4111153693,0,29695.4111153693
"vegetables_machinery_costs","vegetables_machinery_costs",29715.2988098349,0,29715.2988098349
"vegetables_machinery_costs_with_gov_assistance","vegetables_machinery_costs_with_gov_assistance",29537.9151213982,0,29537.9151213982
"vegetables_labor_costs","vegetables_labor_costs",29741.1971543859,0,29741.1971543859
"vegetables_irrigation_costs_first_year","vegetables_irrigation_costs_first_year",29556.8796667902,0,29556.8796667902
"vegetables_irrigation_costs_first_year_with_gov_assistance","vegetables_irrigation_costs_first_year_with_gov_assistance",29732.1993088217,0,29732.1993088217
"irrigation_maintenance_costs","irrigation_maintenance_costs",29548.3073778218,0,29548.3073778218
"water_pump_rent_fee_with_gov_assistance","water_pump_rent_fee_with_gov_assistance",29739.0282543426,0,29739.0282543426
"tomato_sauce_price","tomato_sauce_price",29759.7354190709,0,29759.7354190709
"chili_sauce_price","chili_sauce_price",29789.0688234889,0,29789.0688234889
"compost_bin_cost","compost_bin_cost",29795.382492406,0,29795.382492406
"compost_bin_cost_with_gov_assistance","compost_bin_cost_with_gov_assistance",29780.4484926338,0,29780.4484926338
"composter_equipment_cost","composter_equipment_cost",29770.5473936417,0,29770.5473936417
"composter_equipment_cost_with_gov_assistance","composter_equipment_cost_with_gov_assistance",29728.1562324018,0,29728.1562324018
"compost_activator_cost","compost_activator_cost",29714.6227972671,0,29714.6227972671
"composter_maintenance_cost","composter_maintenance_cost",29775.7990595702,0,29775.7990595702
"manure_for_compost_cost","manure_for_compost_cost",29709.7612652634,0,29709.7612652634
"vegetable_processing_equipment_maintenance_cost","vegetable_processing_equipment_maintenance_cost",29768.0220215007,0,29768.0220215007
"vegetable_storage_maintenance_cost","vegetable_storage_maintenance_cost",29750.8213802003,0,29750.8213802003
"vegetable_processing_building_facility_cost","vegetable_processing_building_facility_cost",29777.0950279219,0,29777.0950279219
"vegetable_processing_equipment_procurement_cost","vegetable_processing_equipment_procurement_cost",29797.6622551952,0,29797.6622551952
"vegetable_processing_storage_equipment_procurement_cost","vegetable_processing_storage_equipment_procurement_cost",29735.6595378169,0,29735.6595378169
"marketing_and_distribution_for_vegetable_product","marketing_and_distribution_for_vegetable_product",29768.6717471707,0,29768.6717471707
"daily_labor_cost","daily_labor_cost",29773.4185436821,0,29773.4185436821
"marketing_and_promotion_ecotourism","marketing_and_promotion_ecotourism",29725.0882632274,0,29725.0882632274
"annual_cost_agrotourism","annual_cost_agrotourism",29699.2687427804,0,29699.2687427804
"sign_installation_cost","sign_installation_cost",29727.4785857786,0,29727.4785857786
"annual_vegetables_yield","annual_vegetables_yield",29311.8626969943,0,29311.8626969943
"average_vegetables_price_market","average_vegetables_price_market",28780.1080081948,0,28780.1080081948
"annual_vegs_consumption_per_person","annual_vegs_consumption_per_person",29718.996992993,0,29718.996992993
"range_loan_for_farmers","range_loan_for_farmers",29550.9899859913,0,29550.9899859913
"annual_bank_interest","annual_bank_interest",29777.0568526317,0,29777.0568526317
"chance_farmers_take_loan","chance_farmers_take_loan",29503.6984725302,0,29503.6984725302
"portion_low_grade_vegetable_product","portion_low_grade_vegetable_product",28896.9393396093,0,28896.9393396093
"portion_rice_farming_input_cost_for_pest_disease_management","portion_rice_farming_input_cost_for_pest_disease_management",29486.8366316855,0,29486.8366316855
"portion_vegetable_farming_input_cost_for_pest_disease_management","portion_vegetable_farming_input_cost_for_pest_disease_management",29735.9107623397,0,29735.9107623397
"chance_production_risk","chance_production_risk",28870.8176527976,0,28870.8176527976
"prob_damage_production_risk_rice","prob_damage_production_risk_rice",29554.5998961938,0,29554.5998961938
"prob_damage_production_risk_vegetables","prob_damage_production_risk_vegetables",29375.6967558349,0,29375.6967558349
"chance_market_risk_rice","chance_market_risk_rice",28843.0246729344,0,28843.0246729344
"chance_market_risk_vegetables","chance_market_risk_vegetables",29729.6249690152,0,29729.6249690152
"prob_damage_market_risk_rice","prob_damage_market_risk_rice",29564.463113463,0,29564.463113463
"prob_damage_market_risk_vegetables","prob_damage_market_risk_vegetables",29727.3586751879,0,29727.3586751879
"chance_financial_risk_rice","chance_financial_risk_rice",29503.5686909164,0,29503.5686909164
"chance_financial_risk_vegetables","chance_financial_risk_vegetables",29749.1292352885,0,29749.1292352885
"prob_damage_financial_risk_rice","prob_damage_financial_risk_rice",29527.0972766344,0,29527.0972766344
"prob_damage_financial_risk_vegetables","prob_damage_financial_risk_vegetables",28942.8100122457,0,28942.8100122457
"chance_institutional_risk","chance_institutional_risk",28914.7368876415,0,28914.7368876415
"prob_damage_institutional_risk_rice","prob_damage_institutional_risk_rice",29534.722416671,0,29534.722416671
"prob_damage_institutional_risk_vegetables","prob_damage_institutional_risk_vegetables",29451.5766601497,0,29451.5766601497
"prob_of_compost","prob_of_compost",29668.9965702417,0,29668.9965702417
"prob_of_processing_vegetables","prob_of_processing_vegetables",29525.9077058703,0,29525.9077058703
"prob_of_agrotourism","prob_of_agrotourism",29549.392409094,0,29549.392409094
"rice_biomass_increase_from_production_risk","rice_biomass_increase_from_production_risk",29760.2339900879,0,29760.2339900879
"vegetable_biomass_increase_from_production_risk","vegetable_biomass_increase_from_production_risk",28927.8009959444,0,28927.8009959444
"portion_compost_result_from_biomass_waste","portion_compost_result_from_biomass_waste",29768.9498218893,0,29768.9498218893
"chance_rice_price_loss_market_risk","chance_rice_price_loss_market_risk",29507.5426374365,0,29507.5426374365
