"","variable","expected_gain","EVPI_do","EVPI_dont"
"n_year","n_year",NA,0,0
"discount_rate","discount_rate",706.551726839909,0,706.551726839909
"CV_value","CV_value",704.510479973817,0,704.510479973817
"inflation_rate","inflation_rate",703.517106199448,0,703.517106199448
"rice_yield","rice_yield",705.138331435203,0,705.138331435203
"chinese_mustard_green_yield","chinese_mustard_green_yield",705.412691799401,0,705.412691799401
"green_bean_yield","green_bean_yield",704.768154192072,0,704.768154192072
"cabbage_yield","cabbage_yield",705.42942906112,0,705.42942906112
"chili_yield","chili_yield",703.044212133455,0.385015307666123,703.429227441121
"tomato_yield","tomato_yield",704.24777117465,0,704.24777117465
"spring_onion_yield","spring_onion_yield",706.715197144661,0,706.715197144661
"rice_farmgate_price","rice_farmgate_price",703.848973591822,0,703.848973591822
"rice_market_price","rice_market_price",705.651970997483,0,705.651970997483
"rice_cultural_value","rice_cultural_value",705.583122310423,0,705.583122310423
"chinese_mustard_green_price","chinese_mustard_green_price",707.189323517915,0,707.189323517915
"green_bean_price","green_bean_price",704.689075508272,0,704.689075508272
"cabbage_price","cabbage_price",698.971398631037,0,698.971398631037
"chili_price","chili_price",721.150906864177,2.01896255965391,723.169869423831
"tomato_price","tomato_price",702.597974269946,0,702.597974269946
"spring_onion_price","spring_onion_price",694.737108365169,0,694.737108365169
"vegetable_farmgate_prices","vegetable_farmgate_prices",650.238833636821,0,650.238833636821
"chinese_mustard_green_contract_price","chinese_mustard_green_contract_price",703.039126110506,0,703.039126110506
"biomass_rice","biomass_rice",702.190629314839,0,702.190629314839
"biomass_vegetables","biomass_vegetables",703.896826718342,0,703.896826718342
"price_rice_compost","price_rice_compost",707.079698677903,0,707.079698677903
"price_vegetable_compost","price_vegetable_compost",705.224894883078,0,705.224894883078
"rice_ecotourism_value","rice_ecotourism_value",700.681256631157,0,700.681256631157
"vegetable_ecotourism_value","vegetable_ecotourism_value",700.368052113956,0,700.368052113956
"health_cost_savings_from_rice","health_cost_savings_from_rice",630.12594762287,0,630.12594762287
"health_cost_savings_from_vegetables","health_cost_savings_from_vegetables",703.246526952268,0,703.246526952268
"rice_farming_input_costs","rice_farming_input_costs",706.373042674176,0,706.373042674176
"rice_farming_input_costs_with_gov_assistance","rice_farming_input_costs_with_gov_assistance",703.045632503588,0,703.045632503588
"rice_labor_costs","rice_labor_costs",704.637279340517,0,704.637279340517
"rice_machinery_costs","rice_machinery_costs",704.513236926265,0,704.513236926265
"rice_machinery_costs_with_gov_assistance","rice_machinery_costs_with_gov_assistance",704.736104557066,0,704.736104557066
"vegetables_farming_input_costs","vegetables_farming_input_costs",704.876008808651,0,704.876008808651
"vegetables_farming_input_costs_with_gov_assistance","vegetables_farming_input_costs_with_gov_assistance",707.731429576729,0,707.731429576729
"vegetables_equipment_costs_first_year","vegetables_equipment_costs_first_year",702.217124940168,0,702.217124940168
"vegetables_equipment_costs_first_year_with_gov_assistance","vegetables_equipment_costs_first_year_with_gov_assistance",703.279293918799,0,703.279293918799
"vegetables_machinery_costs","vegetables_machinery_costs",704.21371792977,0,704.21371792977
"vegetables_machinery_costs_with_gov_assistance","vegetables_machinery_costs_with_gov_assistance",697.780798743076,0,697.780798743076
"vegetables_labor_costs","vegetables_labor_costs",701.016620161745,0,701.016620161745
"vegetables_irrigation_costs_first_year","vegetables_irrigation_costs_first_year",700.036285793777,0,700.036285793777
"vegetables_irrigation_costs_first_year_with_gov_assistance","vegetables_irrigation_costs_first_year_with_gov_assistance",706.437508184364,0,706.437508184364
"irrigation_maintenance_costs","irrigation_maintenance_costs",699.646793884126,0,699.646793884126
"water_pump_rent_fee_with_gov_assistance","water_pump_rent_fee_with_gov_assistance",705.376552107458,0,705.376552107458
"tomato_sauce_price","tomato_sauce_price",703.497074402388,0,703.497074402388
"chili_sauce_price","chili_sauce_price",702.910515965043,0,702.910515965043
"compost_bin_cost","compost_bin_cost",704.328724574185,0,704.328724574185
"compost_bin_cost_with_gov_assistance","compost_bin_cost_with_gov_assistance",709.403408165613,0,709.403408165613
"composter_equipment_cost","composter_equipment_cost",704.201971914836,0,704.201971914836
"composter_equipment_cost_with_gov_assistance","composter_equipment_cost_with_gov_assistance",704.305100698172,0,704.305100698172
"compost_activator_cost","compost_activator_cost",704.164921310851,0,704.164921310851
"composter_maintenance_cost","composter_maintenance_cost",704.640183715556,0,704.640183715556
"manure_for_compost_cost","manure_for_compost_cost",703.967553882879,0,703.967553882879
"vegetable_processing_equipment_maintenance_cost","vegetable_processing_equipment_maintenance_cost",707.053335733775,0,707.053335733775
"vegetable_storage_maintenance_cost","vegetable_storage_maintenance_cost",703.819008056862,0,703.819008056862
"vegetable_processing_building_facility_cost","vegetable_processing_building_facility_cost",701.952292291414,0,701.952292291414
"vegetable_processing_equipment_procurement_cost","vegetable_processing_equipment_procurement_cost",708.122965887483,0,708.122965887483
"vegetable_processing_storage_equipment_procurement_cost","vegetable_processing_storage_equipment_procurement_cost",705.787922203576,0,705.787922203576
"marketing_and_distribution_for_vegetable_product","marketing_and_distribution_for_vegetable_product",708.639109494149,0,708.639109494149
"daily_labor_cost","daily_labor_cost",705.518305803689,0,705.518305803689
"marketing_and_promotion_ecotourism","marketing_and_promotion_ecotourism",706.939460541111,0,706.939460541111
"annual_cost_agrotourism","annual_cost_agrotourism",702.389905814715,0,702.389905814715
"sign_installation_cost","sign_installation_cost",704.920646932336,0,704.920646932336
"annual_vegetables_yield","annual_vegetables_yield",692.138583221361,0,692.138583221361
"average_vegetables_price_market","average_vegetables_price_market",681.037109432139,0,681.037109432139
"annual_vegs_consumption_per_person","annual_vegs_consumption_per_person",704.899411071018,0,704.899411071018
"range_loan_for_farmers","range_loan_for_farmers",698.572221152229,0,698.572221152229
"annual_bank_interest","annual_bank_interest",705.137125852041,0,705.137125852041
"chance_farmers_take_loan","chance_farmers_take_loan",698.98497060361,0,698.98497060361
"portion_low_grade_vegetable_product","portion_low_grade_vegetable_product",685.351408926435,0,685.351408926435
"portion_rice_farming_input_cost_for_pest_disease_management","portion_rice_farming_input_cost_for_pest_disease_management",701.23393790248,0,701.23393790248
"portion_vegetable_farming_input_cost_for_pest_disease_management","portion_vegetable_farming_input_cost_for_pest_disease_management",704.058527146662,0,704.058527146662
"chance_production_risk","chance_production_risk",685.755448819324,0,685.755448819324
"prob_damage_production_risk_rice","prob_damage_production_risk_rice",698.388032729556,0,698.388032729556
"prob_damage_production_risk_vegetables","prob_damage_production_risk_vegetables",694.882215364124,0,694.882215364124
"chance_market_risk_rice","chance_market_risk_rice",684.510040787527,0,684.510040787527
"chance_market_risk_vegetables","chance_market_risk_vegetables",705.047099286963,0,705.047099286963
"prob_damage_market_risk_rice","prob_damage_market_risk_rice",697.921133203555,0,697.921133203555
"prob_damage_market_risk_vegetables","prob_damage_market_risk_vegetables",705.385535725976,0,705.385535725976
"chance_financial_risk_rice","chance_financial_risk_rice",700.052112893791,0,700.052112893791
"chance_financial_risk_vegetables","chance_financial_risk_vegetables",702.399737926409,0,702.399737926409
"prob_damage_financial_risk_rice","prob_damage_financial_risk_rice",700.690603084227,0,700.690603084227
"prob_damage_financial_risk_vegetables","prob_damage_financial_risk_vegetables",681.354442799914,0,681.354442799914
"chance_institutional_risk","chance_institutional_risk",686.635394586675,0,686.635394586675
"prob_damage_institutional_risk_rice","prob_damage_institutional_risk_rice",701.109587116192,0,701.109587116192
"prob_damage_institutional_risk_vegetables","prob_damage_institutional_risk_vegetables",696.850164893078,0,696.850164893078
"prob_of_compost","prob_of_compost",702.493357327458,0,702.493357327458
"prob_of_processing_vegetables","prob_of_processing_vegetables",700.58275860211,0,700.58275860211
"prob_of_agrotourism","prob_of_agrotourism",700.977389321848,0,700.977389321848
"rice_biomass_increase_from_production_risk","rice_biomass_increase_from_production_risk",704.353720553872,0,704.353720553872
"vegetable_biomass_increase_from_production_risk","vegetable_biomass_increase_from_production_risk",685.822166527474,0,685.822166527474
"portion_compost_result_from_biomass_waste","portion_compost_result_from_biomass_waste",704.368391782361,0,704.368391782361
"chance_rice_price_loss_market_risk","chance_rice_price_loss_market_risk",700.720235766464,0,700.720235766464
"chance_vegetable_price_loss_market_risk","chance_vegetable_price_loss_market_risk",702.818783497027,0,702.818783497027
"compost_income_loss_market_risk","compost_income_loss_market_risk",702.061073968213,0,702.061073968213
"vegetable_processed_income_loss_market_risk","vegetable_processed_income_loss_market_risk",703.067360652365,0,703.067360652365
"portion_compost_loss_revenue","portion_compost_loss_revenue",704.26844374966,0,704.26844374966
"chance_market_risk_compost","chance_market_risk_compost",700.645729034859,0,700.645729034859
"chance_market_risk_vegetable_processed","chance_market_risk_vegetable_processed",702.85095161502,0,702.85095161502
"chance_consume_own_vegetables","chance_consume_own_vegetables",705.707302415345,0,705.707302415345
"rice_cultural_value_proxy_quality_and_satisfaction","rice_cultural_value_proxy_quality_and_satisfaction",706.758619384515,0,706.758619384515
"rice_cultural_value_proxy_local_identity","rice_cultural_value_proxy_local_identity",702.452469891981,0,702.452469891981
"rice_cultural_value_proxy_local_cultural_practice_tudang_sipulung","rice_cultural_value_proxy_local_cultural_practice_tudang_sipulung",701.925103357392,0,701.925103357392
"rice_cultural_value_proxy_local_cultural_practice_gotong_royong","rice_cultural_value_proxy_local_cultural_practice_gotong_royong",701.41436443326,0,701.41436443326
