"","variable","expected_gain","EVPI_do","EVPI_dont"
"n_year","n_year",NA,0,0
"discount_rate","discount_rate",345.361825680824,0,345.361825680824
"CV_value","CV_value",343.782399410094,0,343.782399410094
"inflation_rate","inflation_rate",345.240920015279,0,345.240920015279
"rice_yield","rice_yield",344.419338439766,0,344.419338439766
"chinese_mustard_green_yield","chinese_mustard_green_yield",344.710457907334,0,344.710457907334
"green_bean_yield","green_bean_yield",343.861653588612,0,343.861653588612
"cabbage_yield","cabbage_yield",344.788244292704,0,344.788244292704
"chili_yield","chili_yield",343.591274304383,17.3860655732757,360.977339877659
"tomato_yield","tomato_yield",343.843847773709,0.359797753745442,344.203645527454
"spring_onion_yield","spring_onion_yield",346.060031376615,0,346.060031376615
"rice_farmgate_price","rice_farmgate_price",343.219727628135,0.00184061776510035,343.2215682459
"rice_market_price","rice_market_price",344.750461018106,0,344.750461018106
"rice_cultural_value","rice_cultural_value",345.263712589347,0,345.263712589347
"chinese_mustard_green_price","chinese_mustard_green_price",346.541978127613,0,346.541978127613
"green_bean_price","green_bean_price",344.021874774535,0,344.021874774535
"cabbage_price","cabbage_price",340.861947142589,0,340.861947142589
"chili_price","chili_price",377.985370613755,39.0856288059897,417.070999419745
"tomato_price","tomato_price",345.199873624775,4.31682424153077,349.516697866306
"spring_onion_price","spring_onion_price",343.3906813117,0,343.3906813117
"vegetable_farmgate_prices","vegetable_farmgate_prices",319.379165179261,0,319.379165179261
"chinese_mustard_green_contract_price","chinese_mustard_green_contract_price",342.403211494538,0,342.403211494538
"biomass_rice","biomass_rice",341.669753410774,0,341.669753410774
"biomass_vegetables","biomass_vegetables",343.236428746526,0,343.236428746526
"price_rice_compost","price_rice_compost",346.563205497708,0,346.563205497708
"price_vegetable_compost","price_vegetable_compost",344.3571957332,0,344.3571957332
"rice_ecotourism_value","rice_ecotourism_value",341.224068654407,0,341.224068654407
"vegetable_ecotourism_value","vegetable_ecotourism_value",342.398501883904,0,342.398501883904
"health_cost_savings_from_rice","health_cost_savings_from_rice",310.161953961692,0,310.161953961692
"health_cost_savings_from_vegetables","health_cost_savings_from_vegetables",343.578589253782,0,343.578589253782
"rice_farming_input_costs","rice_farming_input_costs",345.433362571244,0,345.433362571244
"rice_farming_input_costs_with_gov_assistance","rice_farming_input_costs_with_gov_assistance",342.379861061614,0,342.379861061614
"rice_labor_costs","rice_labor_costs",344.3503338178,0,344.3503338178
"rice_machinery_costs","rice_machinery_costs",343.535174533827,0,343.535174533827
"rice_machinery_costs_with_gov_assistance","rice_machinery_costs_with_gov_assistance",345.428050672112,0,345.428050672112
"vegetables_farming_input_costs","vegetables_farming_input_costs",344.44710568784,0.0381678841806139,344.48527357202
"vegetables_farming_input_costs_with_gov_assistance","vegetables_farming_input_costs_with_gov_assistance",346.969186096612,0,346.969186096612
"vegetables_equipment_costs_first_year","vegetables_equipment_costs_first_year",342.334163081483,0,342.334163081483
"vegetables_equipment_costs_first_year_with_gov_assistance","vegetables_equipment_costs_first_year_with_gov_assistance",342.750041351564,0,342.750041351564
"vegetables_machinery_costs","vegetables_machinery_costs",343.671920351758,0,343.671920351758
"vegetables_machinery_costs_with_gov_assistance","vegetables_machinery_costs_with_gov_assistance",340.102827093424,0,340.102827093424
"vegetables_labor_costs","vegetables_labor_costs",341.039141185295,0.0188564599736224,341.057997645269
"vegetables_irrigation_costs_first_year","vegetables_irrigation_costs_first_year",341.632851531902,0,341.632851531902
"vegetables_irrigation_costs_first_year_with_gov_assistance","vegetables_irrigation_costs_first_year_with_gov_assistance",346.095781779823,0,346.095781779823
"irrigation_maintenance_costs","irrigation_maintenance_costs",341.428598777972,0,341.428598777972
"water_pump_rent_fee_with_gov_assistance","water_pump_rent_fee_with_gov_assistance",344.983282239346,0,344.983282239346
"tomato_sauce_price","tomato_sauce_price",342.853039658774,0,342.853039658774
"chili_sauce_price","chili_sauce_price",342.456487687124,0,342.456487687124
"compost_bin_cost","compost_bin_cost",344.304527032748,0,344.304527032748
"compost_bin_cost_with_gov_assistance","compost_bin_cost_with_gov_assistance",348.263847451956,0,348.263847451956
"composter_equipment_cost","composter_equipment_cost",343.448835994102,0,343.448835994102
"composter_equipment_cost_with_gov_assistance","composter_equipment_cost_with_gov_assistance",343.68295092099,0,343.68295092099
"compost_activator_cost","compost_activator_cost",343.726151152387,0,343.726151152387
"composter_maintenance_cost","composter_maintenance_cost",344.666042214579,0,344.666042214579
"manure_for_compost_cost","manure_for_compost_cost",343.594479391104,0,343.594479391104
"vegetable_processing_equipment_maintenance_cost","vegetable_processing_equipment_maintenance_cost",344.686926852394,0,344.686926852394
"vegetable_storage_maintenance_cost","vegetable_storage_maintenance_cost",343.176321070542,0,343.176321070542
"vegetable_processing_building_facility_cost","vegetable_processing_building_facility_cost",341.205753139307,0,341.205753139307
"vegetable_processing_equipment_procurement_cost","vegetable_processing_equipment_procurement_cost",347.344015222674,0,347.344015222674
"vegetable_processing_storage_equipment_procurement_cost","vegetable_processing_storage_equipment_procurement_cost",345.078638555274,0,345.078638555274
"marketing_and_distribution_for_vegetable_product","marketing_and_distribution_for_vegetable_product",348.206206964277,0,348.206206964277
"daily_labor_cost","daily_labor_cost",344.615891243059,0,344.615891243059
"marketing_and_promotion_ecotourism","marketing_and_promotion_ecotourism",346.252549866004,0,346.252549866004
"annual_cost_agrotourism","annual_cost_agrotourism",342.466295257757,0,342.466295257757
"sign_installation_cost","sign_installation_cost",344.767616858982,0,344.767616858982
"annual_vegetables_yield","annual_vegetables_yield",336.956727432566,0,336.956727432566
"average_vegetables_price_market","average_vegetables_price_market",332.836677573338,0,332.836677573338
"annual_vegs_consumption_per_person","annual_vegs_consumption_per_person",343.986765458108,0,343.986765458108
"range_loan_for_farmers","range_loan_for_farmers",341.241143174734,0,341.241143174734
"annual_bank_interest","annual_bank_interest",344.850883463735,0,344.850883463735
"chance_farmers_take_loan","chance_farmers_take_loan",340.740554263808,0,340.740554263808
"portion_low_grade_vegetable_product","portion_low_grade_vegetable_product",335.00256881053,0,335.00256881053
