"","Cashflow","Min","Q5.5%","Q25.25%","Median","Q75.75%","Q95.95%"
"1","cashflow_vegetables_with_gov_assistance1",-208.69,-59.62,-4.73,48.54,136.73,417.68
"2","cashflow_vegetables_with_gov_assistance2",-177.76,-23.76,32.06,89.62,177.65,457
"3","cashflow_vegetables_with_gov_assistance3",-327.8,-31.59,27.84,84.52,179.77,472.03
"4","cashflow_vegetables_with_gov_assistance4",-213.38,-23.78,37.74,98.15,194.23,510.2
"5","cashflow_vegetables_with_gov_assistance5",-159.72,-23.21,41.51,103.73,198.66,510.53
"6","cashflow_vegetables_with_gov_assistance6",-138.18,-18.63,48.77,112.92,214.42,537.52
"7","cashflow_vegetables_with_gov_assistance7",-271.74,-19.86,48.69,115.45,220.2,553.85
"8","cashflow_vegetables_with_gov_assistance8",-444.95,-26.32,45.62,114.98,224.8,574.16
"9","cashflow_vegetables_with_gov_assistance9",-153,-25.51,46.73,122.14,234.5,592.37
"10","cashflow_vegetables_with_gov_assistance10",-391.26,-18.69,56.91,132.58,250.55,639.24
"11","cashflow_vegetables_without_gov_assistance1",-318.46,-167.98,-99.88,-41.17,47.94,325.89
"12","cashflow_vegetables_without_gov_assistance2",-212.39,-56.43,2.48,61.34,148.73,425.54
"13","cashflow_vegetables_without_gov_assistance3",-372.7,-68.24,-6.87,50.45,145.81,432.57
"14","cashflow_vegetables_without_gov_assistance4",-223.55,-64.81,-2.36,60.89,153.17,469.06
"15","cashflow_vegetables_without_gov_assistance5",-225.47,-62.91,4.71,66.66,163.87,470.54
"16","cashflow_vegetables_without_gov_assistance6",-209.62,-62.54,5.29,69.71,172.62,494.23
"17","cashflow_vegetables_without_gov_assistance7",-297.14,-66.22,5.11,72.25,176.6,510.06
"18","cashflow_vegetables_without_gov_assistance8",-462.56,-61.67,13.47,83.15,192.9,543.93
"19","cashflow_vegetables_without_gov_assistance9",-201.55,-63.1,11.89,88.02,202.09,557.52
"20","cashflow_vegetables_without_gov_assistance10",-399.21,-61.59,16.14,91.91,211.57,594.96
