"","Cashflow","Min","Q5.5%","Q25.25%","Median","Q75.75%","Q95.95%"
"1","cashflow_vegetables_with_gov_assistance1",-156.22,-62.68,-7.94,45.34,132.84,406
"2","cashflow_vegetables_with_gov_assistance2",-164.07,-29.13,28.76,84.72,174.3,451.08
"3","cashflow_vegetables_with_gov_assistance3",-270.56,-25.52,34.22,90.73,183.1,478.26
"4","cashflow_vegetables_with_gov_assistance4",-148.96,-25.47,34.74,94.81,188.33,489.97
"5","cashflow_vegetables_with_gov_assistance5",-182.83,-25.42,38.93,102.7,199.3,515.14
"6","cashflow_vegetables_with_gov_assistance6",-248.58,-22.97,40.64,105.75,208.28,531.47
"7","cashflow_vegetables_with_gov_assistance7",-266.43,-18.75,48.98,117.82,219.91,542.35
"8","cashflow_vegetables_with_gov_assistance8",-202.17,-19.99,49.79,120.72,229.55,575.4
"9","cashflow_vegetables_with_gov_assistance9",-250.85,-27.79,46.41,118.26,232.18,586.53
"10","cashflow_vegetables_with_gov_assistance10",-384.52,-26.27,48.83,124.14,242.27,622.99
"11","cashflow_vegetables_without_gov_assistance1",-268.13,-172.7,-105.77,-48.78,35.23,309.73
"12","cashflow_vegetables_without_gov_assistance2",-207.84,-65.2,-8.13,49.94,138.62,417.62
"13","cashflow_vegetables_without_gov_assistance3",-306.05,-64.47,-4.32,54.67,145.92,439.53
"14","cashflow_vegetables_without_gov_assistance4",-194.51,-69.23,-7.58,52.49,146.78,447.08
"15","cashflow_vegetables_without_gov_assistance5",-252.64,-65.16,1.67,64.93,162.6,474.76
"16","cashflow_vegetables_without_gov_assistance6",-256.04,-63.81,2.38,68.09,169.68,487.12
"17","cashflow_vegetables_without_gov_assistance7",-246.56,-61.86,8.15,76.18,180.09,504.61
"18","cashflow_vegetables_without_gov_assistance8",-235.87,-68.84,4.07,74.41,183.89,530.69
"19","cashflow_vegetables_without_gov_assistance9",-263.08,-72.94,3.06,75.84,188.95,543.42
"20","cashflow_vegetables_without_gov_assistance10",-451.85,-75.79,2.95,77.8,193.22,575.02
