"","Cashflow","Min","Q5.5%","Q25.25%","Median","Q75.75%","Q95.95%"
"1","cashflow_vegetables_with_gov_assistance1",-6542.46,-597.2,3914.81,7855.47,12735.27,22716.86
"2","cashflow_vegetables_with_gov_assistance2",-3580.03,1601.89,6212.44,10278.22,15271.49,26070.03
"3","cashflow_vegetables_with_gov_assistance3",-4408.11,1623.53,6258.06,10502.32,15860.64,26123.8
"4","cashflow_vegetables_with_gov_assistance4",-5294.51,1753.16,6503.65,10831.4,16333.38,27331.91
"5","cashflow_vegetables_with_gov_assistance5",-7171.35,1853.17,6666.41,11191.93,16794.83,27822.44
"6","cashflow_vegetables_with_gov_assistance6",-5815.35,1866.96,6781.29,11421.14,17302.08,28988.02
"7","cashflow_vegetables_with_gov_assistance7",-6533.3,1814.44,7124.25,11872.04,17781.84,30395.25
"8","cashflow_vegetables_with_gov_assistance8",-8071.82,1961.29,7219.83,12011.07,18291.49,30963.36
"9","cashflow_vegetables_with_gov_assistance9",-5606.52,1990.06,7362.52,12459.32,18925.59,31969.03
"10","cashflow_vegetables_with_gov_assistance10",-5125.13,1841.57,7474.9,12677.64,19310.52,32844.95
"11","cashflow_vegetables_without_gov_assistance1",-15502.26,-5428.47,-780.84,3411.1,8497.4,18549.96
"12","cashflow_vegetables_without_gov_assistance2",-4468.61,1211.05,5755.38,9801.54,14836.24,25473.57
"13","cashflow_vegetables_without_gov_assistance3",-6399.83,1243.02,5835.91,10040.11,15321.39,25464.87
"14","cashflow_vegetables_without_gov_assistance4",-5849.09,1246.23,6021.66,10358.89,15922.45,27036.1
"15","cashflow_vegetables_without_gov_assistance5",-4921.54,1268.78,6187.55,10625.1,16275.82,27307.75
"16","cashflow_vegetables_without_gov_assistance6",-4717.66,1261.8,6253.33,10847.83,16786.69,28565.52
"17","cashflow_vegetables_without_gov_assistance7",-10896.28,1415.95,6512.15,11230.98,17346.63,29753.21
"18","cashflow_vegetables_without_gov_assistance8",-7938.7,1476.03,6700.72,11429.49,17792.4,30123.36
"19","cashflow_vegetables_without_gov_assistance9",-6144.42,1535.05,6795.01,11886.42,18405.8,31477.59
"20","cashflow_vegetables_without_gov_assistance10",-6370.17,1366.13,6960.44,12125.34,18734.77,32506.27
