"","Cashflow","Min","Q5.5%","Q25.25%","Median","Q75.75%","Q95.95%"
"1","cashflow_vegetables_with_gov_assistance1",-6313.18,-453.6,3873.4,8004.17,13012.61,22922.07
"2","cashflow_vegetables_with_gov_assistance2",-3948.11,1545.03,5943.57,10125.34,15277.09,25312.02
"3","cashflow_vegetables_with_gov_assistance3",-4219.4,1651.47,6202.09,10496.39,15684.48,26139.01
"4","cashflow_vegetables_with_gov_assistance4",-5264.87,1814.97,6415.98,10721.93,16178.64,27140.68
"5","cashflow_vegetables_with_gov_assistance5",-5368.1,1632.98,6490.61,10993.23,16753.19,27945.22
"6","cashflow_vegetables_with_gov_assistance6",-5359.76,1705.66,6690.93,11396.2,17315.3,28919.42
"7","cashflow_vegetables_with_gov_assistance7",-4203.08,1736.17,6917.79,11716.24,17867.98,29898.5
"8","cashflow_vegetables_with_gov_assistance8",-5421.02,1874.54,7167.28,12093.54,18506.1,30534.53
"9","cashflow_vegetables_with_gov_assistance9",-5064.61,1849.66,7352.43,12404.45,18991.99,31419.93
"10","cashflow_vegetables_with_gov_assistance10",-8505.05,1816.6,7651.02,12911.1,19613.49,32287.79
"11","cashflow_vegetables_without_gov_assistance1",-13634.07,-5405.81,-711.69,3490.09,8679.9,18739.74
"12","cashflow_vegetables_without_gov_assistance2",-4634.87,1142.35,5490.97,9717.75,14748.13,24837.4
"13","cashflow_vegetables_without_gov_assistance3",-7599,1058.48,5700.58,10043.02,15211.4,25529.25
"14","cashflow_vegetables_without_gov_assistance4",-6302.5,1403.15,5892.33,10202.84,15689.03,26798.84
"15","cashflow_vegetables_without_gov_assistance5",-5988.26,1191.87,5991.6,10476.37,16237.67,27473.33
"16","cashflow_vegetables_without_gov_assistance6",-6615.13,1261.38,6195.55,10876.53,16857.89,28277.28
"17","cashflow_vegetables_without_gov_assistance7",-4725.86,1298.99,6358.64,11108.4,17309.55,29252.68
"18","cashflow_vegetables_without_gov_assistance8",-6436.28,1354.21,6664.34,11520.55,17842.97,30109.32
"19","cashflow_vegetables_without_gov_assistance9",-6053.35,1354.46,6822.61,11896.81,18340.44,30674
"20","cashflow_vegetables_without_gov_assistance10",-6786.42,1333.23,7135.34,12282.21,18930.42,31444.15
