"","Cashflow","Min","Q5.5%","Q25.25%","Median","Q75.75%","Q95.95%"
"1","cashflow_vegetables_with_gov_assistance1",-163.04,-61.56,-6.8,48.12,131.23,410.62
"2","cashflow_vegetables_with_gov_assistance2",-499.63,-31.84,24.99,82.07,167.03,451.23
"3","cashflow_vegetables_with_gov_assistance3",-176.6,-28.66,28.28,86.58,176.94,480.76
"4","cashflow_vegetables_with_gov_assistance4",-121.21,-28.74,31.69,90.83,186.52,487.06
"5","cashflow_vegetables_with_gov_assistance5",-260.61,-34.37,30.57,91.78,188.87,508.53
"6","cashflow_vegetables_with_gov_assistance6",-154.91,-27.41,40.42,103.72,203.57,536.8
"7","cashflow_vegetables_with_gov_assistance7",-221.79,-30.18,39.3,106.2,209.65,548.59
"8","cashflow_vegetables_with_gov_assistance8",-269.97,-33.97,36.45,106.8,218.09,559.4
"9","cashflow_vegetables_with_gov_assistance9",-228.06,-28.93,45.01,118.02,233.65,581.96
"10","cashflow_vegetables_with_gov_assistance10",-356.54,-31.75,42.38,119.46,237.11,612.99
"11","cashflow_vegetables_without_gov_assistance1",-326.84,-175.87,-109.46,-51.07,34.61,310.85
"12","cashflow_vegetables_without_gov_assistance2",-516.6,-71.12,-12.86,44.24,129.83,413.47
"13","cashflow_vegetables_without_gov_assistance3",-226.02,-65.53,-5.65,51.84,142.95,442.43
"14","cashflow_vegetables_without_gov_assistance4",-212.57,-71.44,-6.7,53.29,147.19,447.28
"15","cashflow_vegetables_without_gov_assistance5",-302.68,-71.59,-5.7,55.81,153.31,469.95
"16","cashflow_vegetables_without_gov_assistance6",-198.44,-74.39,-5.26,59.83,161.19,488.36
"17","cashflow_vegetables_without_gov_assistance7",-230.49,-73.65,-2.26,67.18,170.95,506.15
"18","cashflow_vegetables_without_gov_assistance8",-258.66,-75.34,-1.62,68.55,178.44,523.19
"19","cashflow_vegetables_without_gov_assistance9",-284.19,-82.29,-4.4,69.56,182.21,528.51
"20","cashflow_vegetables_without_gov_assistance10",-410.66,-83.59,-6.62,70.25,187.07,565.19
