label;variable;distribution;lower;median;upper;description
Number of years;n_year;const;10;;10;
Discount rate;discount_rate;posnorm;5;;10;
Coefficient of variation  (%);CV_value;posnorm;10;;20;
Inflation rate;inflation_rate;posnorm;1;;5;
Rice yield (kg/ha/year);rice_yield;posnorm;7000;;10000;
Chinese mustard green yield (kg/ha/year);chinese_mustard_green_yield;posnorm;10000;;20000;
Green bean yield (kg/ha/year);green_bean_yield;posnorm;12000;;30000;
Cabbage yield (kg/ha/year);cabbage_yield;posnorm;30000;;70000;
Chili yield (kg/ha/year);chili_yield;posnorm;10000;;40000;
Tomato yield (kg/ha/year);tomato_yield;posnorm;15000;;40000;
Spring onion yield (kg/ha/year);spring_onion_yield;posnorm;10000;;24000;
Rice farmgate price (IDR/kg);rice_farmgate_price;posnorm;0.0096;;0.0112;
Rice market price (IDR/kg);rice_market_price;posnorm;0.0112;;0.016;
Rice cultural value (IDR/ha/year);rice_cultural_value;posnorm;57.6;;131.36;
Chinese mustard green price (IDR/kg);chinese_mustard_green_price;posnorm;0.0048;;0.0112;
Green bean price (IDR/kg);green_bean_price;posnorm;0.004;;0.008;
Cabbage price (IDR/kg);cabbage_price;posnorm;0.00144;;0.00704;
Chili price (IDR/kg);chili_price;posnorm;0.00256;;0.04;
Tomato price (IDR/kg);tomato_price;posnorm;0.004;;0.02;
Spring onion price (IDR/kg);spring_onion_price;posnorm;0.00208;;0.02;
Overall vegetable farmgate prices (IDR/kg);vegetable_farmgate_prices;posnorm;0.00144;;0.04;
Chinese mustard green contract price (IDR/kg);chinese_mustard_green_contract_price;posnorm;0.0048;;0.008;
Biomass residue from rice (kg/ha/year);biomass_rice;posnorm;8000;;13000;
Biomass residue from vegetables (kg/ha/year);biomass_vegetables;posnorm;10000;;20000;
Price of compost made from rice biomass residue (IDR/kg);price_rice_compost;posnorm;0.0008;;0.00192;
Price of compost made from vegetable biomass residue (IDR/kg);price_vegetable_compost;posnorm;0.0016;;0.0032;
Estimated economic value of ecotourism from rice field (IDR/year);rice_ecotourism_value;posnorm;2;;8;
Estimated economic value of ecotourism from vegetable field (IDR/year);vegetable_ecotourism_value;posnorm;2.992;;15.008;
Estimated annual health cost savings from rice (IDR/ha/year);health_cost_savings_from_rice;posnorm;0.288;;11.2;
Estimated annual health cost savings from vegetables (IDR/ha/year);health_cost_savings_from_vegetables;posnorm;34.096;;133.2;
Rice farming input costs (IDR/ha/year);rice_farming_input_costs;posnorm;11;;14.08;
Rice farming input costs  with government assistance (IDR/ha/year);rice_farming_input_costs_with_gov_assistance;posnorm;10;;12.8;
Rice labor costs (IDR/ha/year);rice_labor_costs;posnorm;3.152;;4.2;
Rice machinery costs (IDR/ha/year);rice_machinery_costs;posnorm;4.4;;11;
Rice machinery costs with government assistance (IDR/ha/year);rice_machinery_costs_with_gov_assistance;posnorm;4;;10;
Vegetable farming input costs (IDR/ha/year);vegetables_farming_input_costs;posnorm;44;;88;
Vegetable farming input costs with government assistance  (IDR/ha/year);vegetables_farming_input_costs_with_gov_assistance;posnorm;40;;80;The costs are not so much different with government assistance because only fertilizers that government supported with subsidized. So assuming that the cost different is only about 10% less than without subsidise
Vegetable equipment costs (IDR/ha/year);vegetables_equipment_costs_first_year;posnorm;11;;44;Only for investement for the first year
Vegetable equipment costs with government assistance (IDR/ha/year);vegetables_equipment_costs_first_year_with_gov_assistance;posnorm;10;;28;The costs are not so much different with government assistance because farmers still need to bare most of the equipment by themeselves. However, they can use the equipment alternately with the goup's member
Vegetable machinery costs (IDR/ha/year);vegetables_machinery_costs;posnorm;6;;12;Only for investement for the first year. In case the farmer need to purchase machinery by themselves.
