label;variable;distribution;lower;median;upper;description
Number of years;n_year;const;10;;10;
Discount rate;discount_rate;posnorm;5;;10;
Coefficient of variation  (%);CV_value;posnorm;10;;20;
Inflation rate;inflation_rate;posnorm;1;;5;
Rice yield (kg/ha/year);rice_yield;posnorm;7000;;10000;
Chinese mustard green yield (kg/ha/year);chinese_mustard_green_yield;posnorm;10000;;20000;
Green bean yield (kg/ha/year);green_bean_yield;posnorm;12000;;30000;
Cabbage yield (kg/ha/year);cabbage_yield;posnorm;30000;;70000;
Chili yield (kg/ha/year);chili_yield;posnorm;10000;;40000;
Tomato yield (kg/ha/year);tomato_yield;posnorm;15000;;40000;
Spring onion yield (kg/ha/year);spring_onion_yield;posnorm;10000;;24000;
Rice farmgate price (USD/kg);rice_farmgate_price;posnorm;0.33;;0.43;
Rice market price (USD/kg);rice_market_price;posnorm;0.5;;0.8;
Rice cultural value (USD/ha/year);rice_cultural_value;posnorm;3600;;8210;
Chinese mustard green price (USD/kg);chinese_mustard_green_price;posnorm;0.3;;0.7;
Green bean price (USD/kg);green_bean_price;posnorm;0.25;;0.5;
Cabbage price (USD/kg);cabbage_price;posnorm;0.09;;0.44;
Chili price (USD/kg);chili_price;posnorm;0.16;;2.5;
Tomato price (USD/kg);tomato_price;posnorm;0.25;;1.25;
Spring onion price (USD/kg);spring_onion_price;posnorm;0.13;;1.25;
Overall vegetable farmgate prices (USD/kg);vegetable_farmgate_prices;posnorm;0.09;;2.5;
Chinese mustard green contract price (USD/kg);chinese_mustard_green_contract_price;posnorm;0.3;;0.5;
Biomass residue from rice (kg/ha/year);biomass_rice;posnorm;8000;;13000;
Biomass residue from vegetables (kg/ha/year);biomass_vegetables;posnorm;10000;;20000;
Price of compost made from rice biomass residue (USD/kg);price_rice_compost;posnorm;0.05;;0.12;
Price of compost made from vegetable biomass residue (USD/kg);price_vegetable_compost;posnorm;0.1;;0.2;
Estimated economic value of ecotourism from rice field (USD/year);rice_ecotourism_value;posnorm;125;;500;
Estimated economic value of ecotourism from vegetable field (USD/year);vegetable_ecotourism_value;posnorm;187;;938;
Estimated annual health cost savings from rice (USD/ha/year);health_cost_savings_from_rice;posnorm;18;;700;
Estimated annual health cost savings from vegetables (USD/ha/year);health_cost_savings_from_vegetables;posnorm;2131;;8325;
Rice farming input costs (USD/ha/year);rice_farming_input_costs;posnorm;687.5;;880;
Rice farming input costs  with government assistance (USD/ha/year);rice_farming_input_costs_with_gov_assistance;posnorm;625;;800;
Rice labor costs (USD/ha/year);rice_labor_costs;posnorm;197;;262.5;
Rice machinery costs (USD/ha/year);rice_machinery_costs;posnorm;275;;687.5;
Rice machinery costs with government assistance (USD/ha/year);rice_machinery_costs_with_gov_assistance;posnorm;250;;625;
Vegetable farming input costs (USD/ha/year);vegetables_farming_input_costs;posnorm;2750;;5500;
Vegetable farming input costs with government assistance  (USD/ha/year);vegetables_farming_input_costs_with_gov_assistance;posnorm;2500;;5000;The costs are not so much different with government assistance because only fertilizers that government supported with subsidized. So assuming that the cost different is only about 10% less than without subsidise
Vegetable equipment costs (USD/ha/year);vegetables_equipment_costs_first_year;posnorm;687.5;;2750;Only for investement for the first year
Vegetable equipment costs with government assistance (USD/ha/year);vegetables_equipment_costs_first_year_with_gov_assistance;posnorm;625;;1750;The costs are not so much different with government assistance because farmers still need to bare most of the equipment by themeselves. However, they can use the equipment alternately with the goup's member
Vegetable machinery costs (USD/ha/year);vegetables_machinery_costs;posnorm;375;;750;Only for investement for the first year. In case the farmer need to purchase machinery by themselves.
Vegetable machinery costs with government assistance (USD/ha/year);vegetables_machinery_costs_with_gov_assistance;posnorm;50;;250;For fuel and operator wage
